pos,date,pv
 1024,2013/11/30, 20
 1024,2013/11/29, 47
 1024,2013/11/28, 32
 1024,2013/11/27, 82
 1024,2013/11/26, 3679
 1024,2013/11/25, 4561247
 1024,2013/11/24, 2663
 1024,2013/11/23, 104
 1024,2013/11/22, 453
 1024,2013/11/21, 4416439
 1024,2013/11/20, 4413531
 1024,2013/11/19, 2460
 1024,2013/11/18, 11
 1024,2013/11/17, 5
 1024,2013/11/16, 7
 1024,2013/11/15, 10
 1024,2013/11/14, 8
 1024,2013/11/13, 16
 1024,2013/11/12, 18
 1024,2013/11/11, 41
 1024,2013/11/10, 44
 1024,2013/11/09, 294
 1024,2013/11/08, 4086178
 1024,2013/11/07, 2601
 1024,2013/11/06, 2
 1024,2013/11/05, 1
 1024,2013/11/04, 1
 1024,2013/11/03, 4
 1024,2013/11/01, 1
 1024,2013/10/31, 2
 1024,2013/10/30, 6
 1024,2013/10/29, 4
 1024,2013/10/28, 1
 1024,2013/10/27, 2
 1024,2013/10/26, 1
 1024,2013/10/25, 1
 1024,2013/10/24, 2
 1024,2013/10/23, 2
 1024,2013/10/22, 2
 1024,2013/10/21, 1
 1024,2013/10/20, 1
 1024,2013/10/19, 2
 1024,2013/10/18, 3
 1024,2013/10/17, 2
 1024,2013/10/16, 2
 1024,2013/10/15, 6
 1024,2013/10/14, 2
 1024,2013/10/13, 2
 1024,2013/10/12, 2
 1024,2013/10/11, 1
 1024,2013/10/10, 3
 1024,2013/10/08, 4
 1024,2013/10/07, 5
 1024,2013/10/06, 2
 1024,2013/10/03, 1
 1024,2013/10/02, 5
 1024,2013/10/01, 2
 1025,2013/11/30, 2
 1025,2013/11/29, 11
 1025,2013/11/28, 4
 1025,2013/11/27, 1
 1025,2013/11/26, 6
 1025,2013/11/25, 2
 1025,2013/11/24, 10
 1025,2013/11/23, 2
 1025,2013/11/22, 8
 1025,2013/11/21, 2
 1025,2013/11/19, 5
 1025,2013/11/18, 9
 1025,2013/11/17, 4
 1025,2013/11/16, 3
 1025,2013/11/15, 3
 1025,2013/11/14, 15
 1025,2013/11/13, 14
 1025,2013/11/12, 7
 1025,2013/11/11, 4
 1025,2013/11/10, 2
 1025,2013/11/09, 15
 1025,2013/11/08, 1
 1025,2013/11/05, 11
 1025,2013/11/04, 2
 1025,2013/11/03, 18
 1025,2013/11/02, 6
 1025,2013/11/01, 18
 1025,2013/10/31, 8
 1025,2013/10/30, 11
 1025,2013/10/29, 4
 1025,2013/10/28, 2
 1025,2013/10/26, 8
 1025,2013/10/25, 4
